Species,Habitat2,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22,Comp23,Comp24,Comp25,Comp26,Comp27,Comp28,Comp29
Dipterus valenciennesi,Calm freshwater lake,0.244536566038678,-0.166682323706195,-0.0233425028027455,0.0766215668717862,0.0119375879897074,0.0121287137514237,-0.00933656629314959,0.0603256167075969,-0.0281051935175412,-0.0135333631510677,0.0183207124071969,0.016948268837108,0.0019255517911317,-0.00942478978508423,-0.00865456844882518,0.00770930763617011,-0.0123584394528011,-0.0179426400228885,-0.00155033311428929,0.000653672597453128,0.000392457580560714,-1.15248227324297e-08,-2.68077233493355e-08,6.99760971389907e-10,-1.53035649430588e-08,-1.954890965143e-09,-1.90326302981769e-09,3.58481410701883e-09,-3.75997322729985e-09
Durialepis edentatus,Coastal marine,-0.184271522227102,0.00129550778886297,0.127114113350702,-0.0125754772400058,0.0011472346398893,0.00302359624026765,0.00637623347378581,-0.0518169430175264,-0.0483657249199672,-0.00793632582962038,-0.00365519727740982,-0.00398679393811614,0.00804935122023333,0.0108623186362995,0.00455738515408922,0.00352534362664703,-0.000610448742319266,-0.0118308178519214,-0.00148131290022988,0.0023297797012147,-0.000249663127750736,-1.95876405063248e-08,4.09988516191255e-08,-9.78583592544519e-09,-4.40011327162504e-09,-3.65872553580822e-09,1.70274763733325e-09,5.34400145554663e-09,3.2854804267804e-09
Elpistostege watsoni,Estuary,0.0182630332960099,0.227453627931457,-0.0139270937158109,0.0404639733446843,-0.0483667585853245,-0.0659583105377379,-0.0114183106485862,-0.0329466634693469,0.00167740462525839,0.0226172423781634,-0.0113755943680019,0.00246883859447475,0.0218584892805686,0.0220177686780735,0.000344516715877383,0.00216119970370526,-0.00461436589864681,-0.0050868380453569,-0.000803188636793861,-0.00298259003834948,0.00193236792986812,-6.48061643238051e-09,-1.08994225476652e-08,-8.74013160456766e-10,9.81490157767398e-09,-1.10201346320907e-08,1.557994053214e-09,-1.01694215895454e-09,1.54613565526984e-09
Eusthenodon waengsjoei,Alluvial plain,-0.00869032112101794,0.0289273447648896,0.183973952351752,-0.0363939681723435,0.00228827401754467,-0.0117706425709631,-0.0182737705324018,0.00227285895029763,0.0268712385682225,0.000298691196897196,0.00969073924360864,-0.0207270624792569,0.020920371164707,0.00618553979827762,0.015129684448895,-0.00204236902820011,-0.00632563625416717,0.00127521697105148,0.00147245211658111,0.000136342683398139,0.000149975541909015,1.4007880509996e-08,2.89486572717769e-09,8.44042723408857e-10,-1.43426309254257e-09,-6.49835927080187e-10,1.757138959346e-09,2.41888391266801e-09,-3.94047594394161e-09
Eusthenopteron foordi,Estuary,-0.103427501975874,0.0336123447792352,0.0689215685593194,-0.0428490117278968,-0.0282977468569765,-0.00349472537632545,0.010207981116549,0.0214500437408121,0.0276214248266885,-0.00974319854566821,0.0165073428397933,-0.00779467355630811,0.0172991702531289,0.00792119673071134,0.00981329066075822,0.000926642903898325,0.00105324488873518,0.00316202384569288,-0.000193269350269581,0.000384505731335125,-6.48756558860086e-05,2.0806846489892e-09,7.02175875755794e-09,-2.00467285523323e-09,-6.63906459406264e-09,-5.66988772081269e-09,1.46233386004121e-09,-2.91428961832988e-09,-3.72323400712679e-09
Fleurantia denticulata,Estuary,0.256156645952001,-0.0265810766230449,-0.0120775891267477,0.0251445682902275,-0.0271982276533668,0.0338063953521378,-0.00626315202436587,0.0261982326283435,0.015573371241315,-0.00586321398378462,-0.0378539344645932,-0.00795918243685848,-0.00425280315896694,-0.0172826445686945,0.0147299639664584,0.00369858564374603,0.00362681188134739,0.00139820561263058,0.00185156202431218,0.000735341882158544,0.0014379716324329,-1.11089720365373e-08,7.29144006934510e-09,-3.54198658424065e-09,-6.12901403349193e-09,-7.76339670457635e-09,2.70381764894134e-09,5.26581652284322e-09,1.02493770729687e-08
Gogonasus andrewsae,Reef,-0.192559971860039,0.00953938692602636,0.039376762456932,0.0171496745320492,0.00574483356843328,0.0294668831327418,-0.0335260954252001,0.00221997325082388,0.0288297795272494,0.0100107627992,0.0220542539012475,0.0013987254093954,-0.0174389093736736,-0.0313373556396985,-0.0121436898487488,-0.00526166814533555,0.00561896255177562,-0.00261115608427148,-0.00314583560603739,-0.000509680726855215,9.39887106935879e-05,-1.18160536613694e-08,-4.58254470334834e-09,-2.06680827059e-09,6.56876380426916e-09,-2.24677484193233e-09,-7.18319735361047e-09,-8.35111009622855e-09,3.83325426821679e-09
Gooloogongia loomesi,Oxbow lake/meandering river,-0.186375882776407,0.0427568815302266,0.0374525586430992,0.0502111049966146,0.0960666012662532,0.0520642966875362,0.0351380452947765,0.0643420682408429,0.000117637523162969,-0.0037699564554391,-0.0175544952400865,-0.0128549163684606,-0.00550852439393378,-0.00016251310589212,-0.00926285953562128,0.00225799060289801,-0.00104524138626471,0.00206507241946007,-0.000854873678552148,0.000637951667798651,0.00381261198583349,1.55813883451466e-08,8.08082281774855e-09,-2.11860191135296e-08,1.17566771770357e-08,5.30028281323352e-09,4.73313336516856e-09,1.24387877688953e-09,-4.140241821474e-09
Griphognathus sculpta,Lagoon,0.264418447667597,0.0777596232611246,0.00750485209905222,0.0150274769259876,-0.0317870764727372,0.0607243864925908,-0.00519676819085614,-0.0313592053476418,0.00151463682471015,0.00971204554519995,-0.0136129333942355,-0.0100071195075564,-0.00954280937200156,-0.0129767720796974,-0.00299367825225317,0.020481233332142,0.00743630455446162,0.00667400470154662,-0.00230720609363086,0.00294911494844221,-0.000781317007156125,1.57472733208243e-08,2.28033861671834e-08,1.97006208091724e-08,-7.61992514659166e-10,-5.7320348207518e-10,1.2347965063636e-09,-1.81333753524957e-09,-4.28562914062819e-09
Griphognathus whitei,Reef,0.253815765823079,0.0789332578356286,0.00921548560250829,0.0738004596903689,-0.0885882742938696,-0.012869198430112,-0.0434567774326331,-0.0044616983811918,0.00633169007710923,0.000990036529099451,-0.0250585452716535,0.0139715457359724,-0.0328033269848501,-0.0105626852551103,-0.0048782815925648,-0.00901823383794833,-0.00142055316285467,-0.000366352793763129,0.0053372329921003,0.000844377646270911,0.000214122921082833,-1.44582737384054e-09,1.44304925947004e-08,-1.35291988710186e-08,-1.73536456569718e-09,1.02900013763691e-08,9.63556195292606e-09,-1.12985457751888e-09,-4.04485970282101e-09
