Species,Group,Epoch,Habitat,Habitat2,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22,Comp23,Comp24,Comp25,Comp26,Comp27,Comp28,Comp29,Comp30,Comp31,Comp32,Comp33,Comp34,Comp35
Allenypterus_montanus,Actinistia,Mississippian,Marine,Bay,-0.498144591918742,0.0341639542017369,0.0817480450366881,-0.208383741005057,-0.0531750541429698,0.0115645817281888,-0.0429091779759041,0.025518866939836,-0.0308768385313734,0.00159722684180502,-0.00764271342424337,0.000378530428268382,-0.0028286631741655,0.00936991016123245,-0.00424031060144213,-0.0049243961060009,-0.000363150205426817,0.00301185526042152,-0.00865339211018694,-0.00127102732462591,-0.00240192638839483,0.00490720140944466,0.000493630529910485,0.000895999971336439,0.00047043012067755,0.00139730074916062,0.000122353635712141,0.000852392046192942,0.000730339423957711,-0.000544757003128449,-0.00152340048552844,-0.000901320668207479,-2.31227601050512e-05,-0.000309623015046534,-0.000222136860514288
Barwickia_downunda,Dipnoi,Upper Devonian,Freshwater,Other freshwater,0.121307659541292,-0.149969140639164,-0.0630517970731723,0.0160009645094132,-0.00664296666475375,-0.00974782011913993,-0.0380570137816315,-0.0182348472218058,-0.013579603468422,-0.000948984917654572,-0.0435445066521293,-0.0228056031741525,-0.0226204419549861,0.00219124103266904,0.00479244325635426,-0.00261998683280747,0.00223969900002901,-0.00265180054509913,-0.00694451220153825,-0.00166230825055952,-0.00537195959361898,0.00273251332345666,0.00801894352763158,-0.00554975221771986,0.00708854898974159,-0.000647793626064315,0.00679078354796092,-0.00263507727636563,0.000653763589551952,-0.00190939547546443,0.00154582998396387,0.00122647437970114,0.000891394841604201,-0.00129643717545703,0.000990988252502491
Cabonnichthys_burnsi,Osteolepiform,Upper Devonian,Freshwater,Oxbow lake/meandering river,0.14627414288787,0.144731136333111,0.0433766642660086,-0.0111435846190194,-0.0373235663868064,0.0108826692154248,0.00150455733712864,0.0105039284766824,0.00570908282036279,0.00238438694071872,-0.0285918570523227,-0.00531627891347684,0.00107953947976677,0.00398675332980096,-0.000551958593274316,-0.0019146029012138,0.00516660521506458,-0.010445523832764,0.00310885203449412,0.00386236455250159,-0.00119127549583285,-0.012277679571545,-0.00335562258912775,0.00731172774023211,0.000721351919285669,-0.000574046768590519,0.00538524143354459,0.000305277673040607,0.00177005860625097,0.00208614430801022,9.2339206472918e-05,-0.000733562834084449,-0.00230726100164006,-0.00346519723815835,-0.002912366138641
Caridosuctor_populosum,Actinistia,Mississippian,Marine,Bay,-0.181954493309997,0.0772731063270323,-0.0273633642362637,0.0753128638281428,0.00482023680053235,0.0388852550540966,-0.0149354653749678,-0.0200444361292824,-0.0285616548263292,-0.00370656369518528,0.00385113252724204,-0.00867709411518036,0.00648398384046907,-0.0148115428937891,0.00683213445911893,-0.0151500435507819,-0.00989176952189313,-0.000961790522879499,0.00572757083811962,-0.00965204763695699,0.00655797610638193,-0.00332703249815091,0.00317321927449786,-0.0109431755356453,-0.00833404494884153,0.000524082547924059,0.000890240961769526,-0.00270817448251846,0.00297320269152822,-0.00018357295711101,-0.00255458860806188,-0.000582722562913297,-0.00300922208000095,-0.00126082760750441,0.00054125957739536
Dipterus_valenciennesi,Dipnoi,Middle Devonian,Freshwater,Calm freshwater lake,0.119945542830448,-0.0529068762470796,0.00463585611888535,0.0558133098556094,-0.072847273904155,-0.0526298708957807,-0.00530513014139265,0.0507688192252963,-0.0164210374226125,-0.0066479740088393,0.0265979597133664,-0.0234948586615859,0.0037501378511537,-0.0136030488725782,-0.00651794906437638,-0.00321590335957153,0.00116549255589509,0.00228926471486961,-0.0172357115385506,0.00846025250356208,-0.00115580186110589,0.00217590965879401,0.00170173475548863,-0.00153454998672564,-0.00742974739420974,-0.00377023709528465,-0.00186803485301861,-0.00207393936395823,0.000610942598832987,0.00170108656892821,-0.000588494786752181,0.00256831646890252,0.00178593214177755,-0.000294926660006495,-0.00222542967999499
Eusthenopteron_foordi,Osteolepiform,Upper Devonian,Estuary,Estuary,0.0381219526349929,0.0594221975843116,0.0640690298662222,0.0151714383155413,-0.00195456024466536,-0.0851711152749161,0.00904581513569998,-0.0462742717437876,-0.00259700321559004,0.00275087710473996,0.0128674168972965,-0.0133105378482982,0.0111636741697409,-0.000464734175514024,0.00942501950071963,0.00367568144421973,-0.0031079892709633,-0.0122828530514083,-0.000130751275300324,0.00142058012940836,-0.0115092042403658,0.00539442943572271,0.00279733718291222,-0.000922615297077861,0.00260913245435879,0.00169110818825867,-0.00593538335830567,0.00110767403743297,-0.00561062714060355,-0.00472378382295096,-0.00260101678508737,-0.00257618669141323,-0.00139639337173458,-0.00180705771117156,-0.000297408091924018
Fleurantia_denticulata,Dipnoi,Upper Devonian,Estuary,Estuary,0.0204110914150608,0.011580072658355,-0.129016166907821,-0.0810489983690137,0.0994245057303979,-0.00202597139945432,0.0531240674122264,-0.00776628615682371,-0.00450981475993562,0.00667874538766943,-0.0130390617574741,-0.00359793339443737,0.0247702750707736,-0.0155227025227156,-0.0114286189382664,-0.00402776796084169,-0.00804058294752184,0.00377352257924628,-0.0117006021438712,-0.000721206729071106,-0.00872117757242916,-0.0058379867997789,0.00182183025117724,0.00102196842901251,0.00422344023626204,0.00373401740184988,-0.00316270534162521,0.00245039043756675,0.00335112471295954,0.00249211101844467,0.000283127730987753,0.00267743291083963,-0.000340459791983036,-0.00025913083526303,0.000713919482444914
Glyptolaemus_kinnairdi,Osteolepiform,Upper Devonian,Freshwater,Dynamic freshwater lake,0.0927016767379137,0.132063010471767,0.0287834575115354,-0.0608112671534074,-0.0331532469072792,-0.035815969551744,-0.0192867553878965,-0.00501560922230604,-0.00616284819657506,-0.00529587106276564,0.0228655136588957,-0.0172460355079176,-0.00689447782453514,-0.00766473274128504,-0.00029952303671216,0.000967626079063957,-0.00188197738408339,-0.00246709741058974,0.0113721867668637,-0.0044046328831911,1.98286929968547e-05,0.00184552294684209,0.00131553605609099,0.00497934327122776,-0.000100295265022444,0.0041413527315043,-0.00222841174576882,-0.00723423802011466,0.00027875818614582,0.00448894598102627,0.0065583447681141,0.00114998870419795,0.000889705257612806,-0.000219261359588407,0.0023774516947894
Glyptolepis_leptopterus,Porolepiform,Middle Devonian,Freshwater,Calm freshwater lake,0.0238796446050562,-0.146919463348128,0.0563267566802528,-0.0266915064506267,0.0119232719796229,-0.00113373647779412,-0.000610944623605212,0.00904921647072879,-0.0118641877199602,-0.0138877835614623,-0.00831379446029734,0.018344017847263,0.0218725247777865,-0.0171530008436326,-0.00696166525802005,-0.0061945890961517,0.0207571925737127,-0.00448146834437019,0.00598445703548294,0.0128401875492318,0.00697988957622336,-0.000533623927477345,0.00106474167284901,0.000703420026891542,-0.00181994730887549,0.00703872108078316,0.00473422298653943,-0.00291133154791231,-0.00446702024122607,-0.00217191092757936,-0.00042654720999512,0.000268395623186525,-0.000829276982822205,0.000440382291580333,0.00110351078484876
Gooloogongia_loomesi,Rhizodontida,Upper Devonian,Freshwater,Oxbow lake/meandering river,0.215262992136419,0.100809698382747,0.0570634362536705,-0.0062817493575362,0.0124292156063461,0.0591977863960234,0.0302813138372204,-0.00752928998028754,0.00866242904352944,0.0055038478637546,-0.013731463201325,0.00199890004251612,-0.0198520994185914,-0.00619870430089181,-0.0213057309514108,0.018906747876697,0.00601335131403793,0.00482732646946518,0.00127737368311032,0.00152229856252272,-0.000932156915489221,0.00948947535533612,-0.00209077553141335,-0.00705061494304497,-0.0028303879690588,0.00672358866794781,-0.00144026698385268,0.000106990694613216,0.001899915057274,0.00129487963550134,-0.00363912357672347,-0.0012162335599515,0.00189788263435317,-0.000970180229031595,-0.000429555815245047
