Species,Habitat2,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22,Comp23,Comp24,Comp25,Comp26,Comp27,Comp28,Comp29,Comp30,Comp31,Comp32
Allenypterus montanus,Bay,-0.494488829606407,-0.0343506602021472,-0.17565737561643,0.154402948436433,-0.0423557554962188,0.00199659052192256,-0.0406331644935432,0.0265795237250899,-0.0234090790963473,0.00149441591197941,-0.00112431980054333,0.00226809913810605,-0.00956398846865386,0.00600634766370748,8.82244445791756e-05,0.00246359497358417,-0.00215600180944844,-0.00917577258968076,0.000198643969178447,0.00382764440917706,0.00336394577444069,0.000772782388772228,0.000711357768560581,-3.96126958124971e-06,-0.000863409555163945,-0.000430480212209343,-0.000792541354978294,-0.00142979613821396,-2.6220554015202e-05,-0.000180614747739509,-0.000265166509265037,-0.000519651954471345
Cabonnichthys burnsi,Oxbow lake/meandering river,0.163902271673851,-0.108109200789356,-0.0764519739411897,-0.0196033070952117,-0.023182255365969,0.0154878509349284,0.000992794083016871,0.015447426821279,0.0139878351045799,-0.000970484150272701,-0.0166208584264761,-0.0100261534321893,-0.00266587164403754,0.00185261047827875,0.000442830072693435,0.00187799397303665,0.00993678791954119,0.0101323467134242,0.00886654567158505,-0.00256724274557679,-0.00299055078095299,0.00314803851045235,-0.0107965083612115,0.00546002227903238,0.000859398928522829,2.0807083069495e-05,0.000337118799236367,0.000252020620350276,-0.000823609889558314,0.00153004858776714,-0.00135218461399434,-0.00498759148154487
Caridosuctor populosum,Bay,-0.16963310443519,-0.0786321312033977,0.030316536021993,-0.0697227189872188,0.00658892876515282,0.0385826498966745,-0.0133330949445945,-0.0124191245593257,-0.033286542959249,0.000501025624035136,0.00712515467570963,-0.0113402706157316,0.0159407243681054,0.014817342155812,-0.00874852743248405,0.00441854058231959,-0.00624750139140288,0.0048912316291013,-0.0106642639505514,-0.00305898237592194,-0.0122764966236266,-0.000102077105930529,0.00956251876766271,0.00387579917062079,0.00388025345336657,0.00048315279012501,0.000250763747650418,-0.00203753532280046,-0.00221541931310796,0.00130822368743577,0.00156551348473968,-0.00192090097695036
Dipterus valenciennesi,Calm freshwater lake,0.124918480902345,0.0595442768420142,0.0373878850260054,-0.0445897001830372,-0.075191337005631,-0.0702675347572018,-0.00871515491798191,0.0447724728176223,-0.00833832175845435,-0.0142085039813883,0.0259601647623679,-0.0129206669147582,0.0121215529708814,0.00603367663803809,0.00286134467933619,0.00798709420007076,0.00509079441504481,-0.0174832232601982,0.00980320387405541,0.00344528561708005,-0.00209415474038787,0.000761720303168465,0.00321370883344983,-0.00527434600497393,0.00448246183403761,0.00225402040239365,0.000140507830631428,0.00121090860644428,-0.0031065785112527,-0.000751724837912108,-0.00271787445770336,-0.00051352160218103
Eusthenopteron foordi,Estuary,0.0524560638015049,-0.0223613213370807,-0.0633784738204222,-0.0473953197994142,0.0193800999608095,-0.072336644154663,0.0379000625212473,-0.0373940328073867,-0.0110401488792346,0.00267845237644741,0.0123418046104848,-0.0153130232659867,-0.0005700297052268,-0.0033624490064254,0.00174248858161637,0.00313677567428605,-0.00560334483206466,0.0120573394642159,0.0075761290784939,0.00865410562200979,0.00772150314462593,0.000612926589180295,0.00658347035778109,-0.00505508441146599,-0.00248942189559931,-0.00223992379212475,0.00092135683829911,-0.00589228355659653,0.003478287177718,-0.00152295794423633,0.00091888180776712,-0.00202150019473806
Fleurantia denticulata,Estuary,0.0242005619479797,-0.0430494855988894,0.0994674185145864,0.124918771313697,0.0806469468052955,0.00128651511490508,0.0637238100606184,0.0119593784428861,0.000546698640603136,-0.00250195764141274,-0.0195611697995724,-0.0146792588778387,0.00932245611685061,0.0107026055433033,0.00491070506566673,0.00929157532233073,-0.0148484393799852,-0.00572854431546228,0.00858458775863967,0.00263015094329659,0.00301156311843323,0.00441220507272631,0.00130587337302735,0.00511187208266954,-0.00529088730590053,0.00114904786606419,-0.00254078865479553,0.00318178866911988,-0.00252177442180254,-0.000286870680464542,0.000932370547327682,-2.02136115531204e-05
Glyptolaemus kinnairdi,Dynamic freshwater lake,0.108878002553227,-0.106478953371015,-0.0817654182567042,0.028685115775411,-0.0153946510377703,-0.0408120411051501,-0.000444830757297375,-0.0028425729256756,-0.00658560705992901,-0.0084911616617864,0.0277387222386967,0.00097631119967649,0.00968440501758034,-0.00290849858954088,-0.00247686209608567,0.00223672496186341,-0.00117720687580205,0.00889693951983514,-0.00908889200862083,-0.00059072243851904,0.00340335550969598,0.0050072720993474,-0.000813688054383704,-0.000213204520684302,4.08588415581457e-05,-0.000328211272785559,0.00741374705174441,0.00929634085345057,0.000359979065231758,-7.69450711110829e-05,0.0017256595687491,0.00122109073622475
Glyptolepis leptopterus,Calm freshwater lake,0.0257761333267802,0.163300047674775,0.0047526148130859,0.0351044776251145,-0.00118470515955225,-0.0104142256402575,-0.00936409056552748,0.00379464971689512,-0.0135414183966436,-0.0124804497133879,-0.0253580922879488,-0.00713252884598622,0.0118291451600485,0.0127243295481824,0.0224511682851392,0.00430097526005113,0.0140339622670193,0.00416242763263686,-0.00139058609842079,-0.00988823120377064,0.00304723865870229,-0.0016241168382881,0.000692458851616449,0.00184174264032654,0.000549187373155789,-0.00901890703190493,0.00457605710923024,-0.00216859713832361,-0.000245903526058086,0.000720089624514788,0.000981157365530978,0.000965338957207606
Gooloogongia loomesi,Oxbow lake/meandering river,0.230563012015852,-0.0565615302610898,-0.0596319728908953,-0.0123073810436286,0.0114899413990447,0.0715009037954305,0.020284255160895,0.00169724071434073,0.0128585587764047,0.00284029072047388,-0.00658144515833074,0.0170644533489353,0.00213033291232086,-0.0207420550975432,0.00884260941078805,0.0105731240769961,0.00975326690950276,-0.0142192649391137,-0.0115749035237213,0.00628431265595749,0.00146512007862545,-0.0035453478113789,0.007406665532904,0.00316576029704055,-0.00395576257431795,-0.00138478876466631,0.001533777692932,-0.000994339589368226,-0.0020891103075167,-0.00251396282198039,-0.00138173160887812,-0.00104897569386869
Griphognathus sculpta,Lagoon,0.097754502509149,0.113506747967615,0.0203478025216731,0.00250162715169049,-0.0874134105468053,0.0315555283645857,0.013079102263057,-0.0223865278483925,-0.0100654978744815,-0.0728779562373574,0.00466386523120245,0.00979790497662779,-0.0194022515262841,0.00737690859528757,-0.00830818543276392,0.0174263061259982,-0.00981264883154819,0.0070856889578299,-0.00393960320689029,0.00268595066893439,0.00163099968877497,-0.00492117020706796,-0.00308810515785436,0.00207799195929171,-0.00168558665568767,0.00237923241215488,-0.000691323901152295,-0.000385163456814622,-0.000214665813029904,0.000322151664507579,0.000102151571776339,0.000138013701901124
