Species,Habitat2,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22,Comp23,Comp24,Comp25,Comp26,Comp27,Comp28
Mandageria fairfaxi,Oxbow lake/meandering river,-0.192387750419201,0.0190274713444551,0.0540825815866224,-0.00914524307819545,0.0338072532277228,-0.0171521557066776,0.00968135998941748,-0.029115978070653,-0.0174087288393921,-0.0428895328949643,-0.0425857325006944,-0.00180244622744891,-0.0455397928119454,0.00441417338382878,0.00707735590749675,-0.0258958468811535,-0.00787761823104718,0.00443763675174958,0.0227451488201499,-0.00181884737509573,0.0258196272375871,-0.00888381904172971,0.00442441411720726,-0.00417592205466907,-0.00556553038140914,0.00395390912062189,-0.00270981167745087,-0.0018501265280484
Miguashaia bureaui,Estuary,0.118966742644778,0.0487002944404705,-0.0843334614097705,0.061596010089495,0.148651559036695,-0.107503460559653,0.10201822345382,0.0631238039055163,0.0705882294353622,0.00482785918634443,-0.0345441179429342,0.00381942861408553,-0.0173497867257241,0.0124251133356745,-0.0188201955937488,0.016501434293409,-0.0305437186422551,-0.0242088894767159,-0.00629635708271541,0.0045393025618393,-0.011085988350727,-0.0112235909891286,0.00223099490258529,-0.00329005189599112,0.00459882281262205,0.000976696912907852,-0.00100557766329498,-0.000186473041821348
Ngamugawi wirngarri,Reef,0.197534725995034,0.118711040373534,-0.142484323711416,0.123359104038526,-0.093656625427999,0.0376443851522054,-0.0569951065369454,-0.100580192717691,0.0166525049959475,0.0127050287594368,-0.0734219272429565,-0.0101910856927792,0.011944051789243,-0.0263055389619347,0.00734384363582921,0.0116106132976885,0.0161706911401157,-0.00752944583593649,-0.0131349961017494,-0.00471247807564177,-0.00382273748179232,-0.00371540696429663,-0.00254983902096306,-0.00832873195008713,0.00274905036597397,-0.00579101992612144,-0.00502336526253131,-0.00101464898221185
Onychodus jandemarrai,Reef,-0.0225912105121434,-0.336523793957972,-0.124197937862511,0.0666050183274267,-0.0783892751550802,-0.0106198797101563,0.068977693061182,-0.0134146098224848,-0.00781784298927184,0.0762938740426077,0.0360744054566139,0.0308564751898396,-0.0175217143890249,-0.0179417770603846,0.012027220527936,-0.0149642874477618,-0.014781415314869,-0.00403156359396583,0.0255968448519396,0.00943514562790797,-0.00712410148147437,0.0136891629858293,-0.00148037781654345,0.00283624873354597,0.00211852970530217,-0.000841581797759666,-0.00307857725456317,3.89238371528745e-05
Osteolepis macrolepidotus,Calm freshwater lake,-0.0809737016115896,0.0256312858327073,0.0166567494697127,0.0536932155333836,0.0643169598987962,-0.0286333286310486,-0.0832685585095608,0.00445275436889974,-0.0342803616219722,-0.0773653957272727,0.0254726192122293,0.0478473127420912,-0.0195031564962084,-0.00568560496571545,0.0303056972127127,0.00418447607092921,0.00530746278384631,-0.0117392643864928,-0.0164983740303751,0.0033599392805078,-0.0143526002057004,0.00631987466067571,-0.00595404456099746,0.0216584288402207,-0.000431176887017447,-0.00198808991314689,-0.00248868992551115,-0.00150588614179578
Panderichthys rhombolepis,Lagoon,-0.22497024116012,0.0930637840010915,0.0462912970213024,-0.163416456872759,-0.114393182426598,0.0481412780803963,0.0775007553781749,0.0151230363769467,0.0117553224727936,0.0066754468507554,-0.0196578924521174,0.0312202972117659,-0.0120047954180118,-0.013315299896056,-0.0234833152124744,0.0249149856526536,-0.0264673481229338,0.00736511960950368,-0.0232800831351488,-0.00237947705617328,0.00934968535316786,0.00124118989060511,0.00511192029435379,0.00853922121406464,0.0103707396927297,-0.00516369831025719,-0.00226238024490349,-0.000360852304509218
Polyosteorhynchus simplex,Bay,0.46558022227764,0.0233155200851562,-0.0233674573589724,-0.0934534264349357,0.0996865035619865,0.0911484670265589,-0.0745785281070218,-0.0152419932274062,-0.0349181074805864,0.0419061667025978,-0.0313362265567706,0.0185721540989828,0.0482882893538477,-0.0136764152328852,-0.025409877738393,-0.0160877094450098,-0.0226024402271269,0.00279313869119555,0.0120237517420675,-0.00195264921464052,-0.00828521271073765,-0.00560635109573194,0.00162632731855957,0.00994973164117387,0.00176000154641226,0.00542751209283465,-0.00055534112442321,0.00113396239066766
Porolepis brevis,Alluvial plain,-0.08206993737466,0.016191378025791,-0.119877016812024,-0.0211055316769593,0.0205363450534084,0.0302926230866701,0.00994186335139754,0.079762026505666,0.016614497387684,-0.0164725246492416,0.00219999329943623,-0.0427610279808882,-0.00526872714505735,-0.0520851710865498,0.0713561870778281,-0.0112011013490578,-0.0091016029843798,0.0321522431127128,0.013116804501854,-0.0104767906981825,-0.00243826385697628,-0.0144042529850368,-0.000718193864426293,0.00579404242906187,0.00643008046347099,-0.00283786725203205,0.00151506413814386,0.000187405953405558
Quebecius quebecensis,Estuary,-0.132698779415093,0.0318332562475859,0.00950628728383169,-0.129764055664663,-0.0690354422732297,-0.0596700182009097,-0.0236002931190128,-0.00803880812414808,-0.0169600615703939,-0.0370425616812248,0.0217384951349495,-0.0135894329695472,0.0321296800904807,-0.0285640153448513,0.00391451157536221,0.0164312237456603,0.0180466142640337,-0.0194345683355093,0.0222251842904371,0.025619432935463,-0.0235841168219383,-0.013887600508207,0.00908445468765414,-0.0125814971941484,0.000100619752081895,0.00293858001992475,-1.50362450579353e-05,-0.000618532135730517
Serenechthys kowiensis,Estuary,0.410505248660088,0.149828605562689,-0.0343602641231631,0.00827526651019935,-0.0283416682991595,0.100613395701359,-0.0269978320939255,0.0782495969951999,-0.0338663173319953,-0.011472473571658,0.052020466548792,-0.049159175696044,-0.0581987476981914,0.04353455207399,0.00852035501906265,0.00267159773523522,-0.0236493179884327,-0.00454243530600339,-0.000704078377415179,0.016992686257884,0.00236067355719712,0.00835609841384543,0.00505738580561999,-0.00998332296852181,-0.00142343270108763,-0.00239938221395245,-0.00167033063791232,-0.000375657609171492
Strunius walteri,Lagoon,0.077266292833559,-0.418176035676202,0.0431663383566497,0.0346969519731596,-0.0648701377643606,0.0391462733232588,0.00186272519923921,0.00552743934856232,-0.020651489313824,-0.0813914804220113,-0.0476026009261781,-0.0176945887043326,0.0260025792478323,0.0473287067330862,0.000922956576846724,-0.00704134061305524,-0.0175116968082267,-0.00230851029854042,-0.0171936693132891,0.00151102154929807,-0.00167562235453311,-0.0113539771220711,0.00586542497541686,-0.000367500356372397,0.00182656672077778,0.000328953780172289,0.00275041708831198,0.000348513584663687
Thursius macrolepidotus,Calm freshwater lake,-0.103152764574847,0.0379423316706048,0.0590193642261571,0.00109176890583238,-0.0151149941355778,0.003222058166827,-0.0281359324928694,0.0345028155001902,-0.0205844025927399,-0.020347834473591,-0.0143476385459203,0.0666636377430357,-0.0247927182263664,0.00929453798509839,0.00669513926568992,0.0137164848165682,0.00540325367958126,-0.0117827021640739,0.00410399308489931,0.00850403817744425,-0.00620403663620812,0.0119161397158677,0.00289785148251037,-0.00503231045178406,0.00373877204797823,0.00152282703070987,-0.00167826353753243,0.00263364161302598
Tristichopterus alatus,Calm freshwater lake,-0.0740312655370494,-0.0607557764247622,0.0526188976845001,0.0470694546825082,0.0906878854311131,0.000546510863369074,-0.00675673792308137,-0.0152348352886979,-0.00826660688442413,-0.0182238847037099,0.0887084328597142,-0.0252392231949832,0.0626051011274637,-0.00708569599572017,-0.00928464157338534,0.00589839890185557,0.00968561691957053,-0.00791481672349409,-0.00893922461648972,-0.0144736237014212,0.0167045155126038,-0.000840118606955576,0.00233909318846291,-0.00871863275527343,0.013192004841942,-0.00534528804808965,-0.00332881463822352,0.000708776705726937
